no;bfs;year;nat_rate_ord;indirect
1;1;1991;0;0
2;1;1992;0;0
3;1;1993;0;0
4;1;1994;3.448275805;0
5;1;1995;0;0
6;1;1996;0;0
7;1;1997;0;0
8;1;1998;0;0
9;1;1999;0;0
10;1;2000;0;0
11;1;2001;2.380952358;0
12;1;2002;0;0
13;1;2003;0;0
14;1;2004;0;0
15;1;2005;0;0
16;1;2006;1.612903118;1
17;1;2007;10.9375;1
18;1;2008;14.2857151;1
19;1;2009;9.677418709;1
20;2;1991;0.217391297;0
21;2;1992;0.947368443;0
22;2;1993;1.047120452;0
23;2;1994;0.83420229;0
24;2;1995;2.002002001;0
25;2;1996;1.776900291;0
26;2;1997;1.862745166;0
27;2;1998;2.054155111;0
28;2;1999;2.402135134;0
29;2;2000;2.195945978;0
30;2;2001;3.210273027;0
31;2;2002;4.638364792;0
32;2;2003;4.844814301;0
33;2;2004;5.621301651;0
34;2;2005;4.387827396;0
35;2;2006;8.115358353;1
36;2;2007;7.067371368;1
37;2;2008;8.977719307;1
38;2;2009;6.119704247;1
39;3;1991;0.833333373;0
40;3;1992;0.840336204;0
41;3;1993;1.612903118;0
42;3;1994;0;0
43;3;1995;3.246753216;0
44;3;1996;1.273885369;0
45;3;1997;1.282051325;0
46;3;1998;5.194805145;0
47;3;1999;0.628930807;0
48;3;2000;2.380952358;0
49;3;2001;2.958580017;0
50;3;2002;2.92397666;0
51;3;2003;3.645833254;0
52;3;2004;5.102040768;0
53;3;2005;7.619048119;0
54;3;2006;7.500000477;1
55;3;2007;7.109004974;1
56;3;2008;4.761904716;1
57;3;2009;7.981220722;1
58;5;1991;0;0
59;5;1992;0;0
60;5;1993;0.602409601;0
61;5;1994;1.190476179;0
62;5;1995;0.558659196;0
63;5;1996;1.675977707;0
64;5;1997;4.736842155;0
65;5;1998;1.630434752;0
66;5;1999;1.020408154;0
67;5;2000;5.714285851;0
68;5;2001;0.458715588;0
69;5;2002;1.785714388;0
70;5;2003;4.471544743;0
71;5;2004;4.641350269;0
72;5;2005;12.69841385;0
73;5;2006;4.761904716;0
74;5;2007;6.854838848;0
75;5;2008;11.63793087;0
76;5;2009;5.504587173;0
77;6;1991;0;0
78;6;1992;0;0
79;6;1993;0;0
80;6;1994;0;0
81;6;1995;0;0
82;6;1996;0;0
83;6;1997;0;0
84;6;1998;0;0
85;6;1999;0;0
86;6;2000;0;0
87;6;2001;0;0
88;6;2002;0;0
89;6;2003;0;0
90;6;2004;0;0
91;6;2005;17.24137878;0
92;6;2006;10.71428585;0
93;6;2007;0;0
94;6;2008;0;0
95;6;2009;12;0
96;7;1991;0;0
97;7;1992;0;0
98;7;1993;0;0
99;7;1994;0;0
100;7;1995;0;0
101;7;1996;2.272727251;0
102;7;1997;4.347826004;0
103;7;1998;0;0
104;7;1999;0;0
105;7;2000;1.851851821;0
106;7;2001;3.174603462;0
107;7;2002;0;0
108;7;2003;7.692307949;0
109;7;2004;7.57575798;0
110;7;2005;9.375;0
111;7;2006;11.11111164;0
112;7;2007;16.66666794;0
113;7;2008;3.389830589;0
114;7;2009;4.6875;0
115;9;1991;0.787401557;0
116;9;1992;0.77519381;0
117;9;1993;0.751879692;0
118;9;1994;1.574803114;0
119;9;1995;0;0
120;9;1996;3.896103859;0
121;9;1997;1.324503303;0
122;9;1998;3.773584843;0
123;9;1999;0.641025662;0
124;9;2000;8.720930099;0
125;9;2001;4;0
126;9;2002;2.747252703;0
127;9;2003;3.174603462;0
128;9;2004;7.329843044;0
129;9;2005;1.980198026;0
130;9;2006;16.99028969;1
131;9;2007;1.477832556;1
132;9;2008;2.415458918;1
133;9;2009;4.390244007;1
134;10;1991;0;0
135;10;1992;1.459854007;0
136;10;1993;0.371747196;0
137;10;1994;2.158273458;0
138;10;1995;2.816901445;0
139;10;1996;1.034482718;0
140;10;1997;1.941747546;0
141;10;1998;1.238390088;0
142;10;1999;1.529052019;0
143;10;2000;4.761904716;0
144;10;2001;7.006369591;0
145;10;2002;2.180685282;0
146;10;2003;5.757575989;0
147;10;2004;5.23255825;0
148;10;2005;7.123287678;0
149;10;2006;3.394255877;1
150;10;2007;6.940873623;1
151;10;2008;9.020618439;1
152;10;2009;2.538070917;1
153;11;1991;1.149425268;0
154;11;1992;1.06382978;0
155;11;1993;2.197802305;0
156;11;1994;1.123595476;0
157;11;1995;1.075268865;0
158;11;1996;2.222222328;0
159;11;1997;5.813953876;0
160;11;1998;5.952381134;0
161;11;1999;1.219512105;0
162;11;2000;7.865169048;0
163;11;2001;0;0
164;11;2002;4.705882549;0
165;11;2003;3.571428776;0
166;11;2004;3.797468185;0
167;11;2005;4.87804842;0
168;11;2006;2.409638405;0
169;11;2007;6.896551609;0
170;11;2008;2.43902421;0
171;11;2009;1.162790656;0
172;13;1991;0;0
173;13;1992;0;0
174;13;1993;0;0
175;13;1994;5.617977619;0
176;13;1995;0;0
177;13;1996;0;0
178;13;1997;5.343511105;0
179;13;1998;0.793650866;0
180;13;1999;0.877192974;0
181;13;2000;10.08403397;0
182;13;2001;2.521008492;0
183;13;2002;0.769230783;0
184;13;2003;0.740740716;0
185;13;2004;0.694444478;0
186;13;2005;2.580645084;0
187;13;2006;4.487179756;1
188;13;2007;5.844155788;1
189;13;2008;6.666666985;1
190;13;2009;1.526717544;1
191;24;1991;0;0
192;24;1992;0;0
193;24;1993;0;0
194;24;1994;0;0
195;24;1995;0;0
196;24;1996;0;0
197;24;1997;0;0
198;24;1998;0;1
199;24;1999;0;1
200;24;2000;0;1
201;24;2001;0;1
202;24;2002;0;1
203;24;2003;0;1
204;24;2004;20;1
205;24;2005;0;1
206;24;2006;7.142857552;1
207;24;2007;30.7692318;1
208;24;2008;0;1
209;24;2009;0;1
210;25;1991;0;0
211;25;1992;0;0
212;25;1993;0;0
213;25;1994;0;0
214;25;1995;1.923076987;0
215;25;1996;4.081632614;0
216;25;1997;0;0
217;25;1998;4.255319118;0
218;25;1999;0;0
219;25;2000;0;0
220;25;2001;0;0
221;25;2002;0;0
222;25;2003;8.2191782;0
223;25;2004;0;0
224;25;2005;1.111111164;0
225;25;2006;1.086956501;0
226;25;2007;0;0
227;25;2008;2.884615421;0
228;25;2009;10.78431416;1
229;26;1991;0;0
230;26;1992;0;0
231;26;1993;0;0
232;26;1994;0;0
233;26;1995;0;0
234;26;1996;0;0
235;26;1997;0;0
236;26;1998;0;0
237;26;1999;0;0
238;26;2000;20;0
239;26;2001;20;0
240;26;2002;0;0
241;26;2003;15.78947258;0
242;26;2004;0;0
243;26;2005;5.55555582;0
244;26;2006;0;0
245;26;2007;14.2857151;1
246;26;2008;23.07692337;1
247;26;2009;0;1
248;27;1991;0;0
249;27;1992;0;0
250;27;1993;3.083700418;0
251;27;1994;0.947867334;0
252;27;1995;2.926829338;0
253;27;1996;5;0
254;27;1997;1.522842646;0
255;27;1998;0;0
256;27;1999;0;0
257;27;2000;1.793722034;0
258;27;2001;1.265822768;0
259;27;2002;3.557312012;0
260;27;2003;0.772200763;0
261;27;2004;3.558718681;0
262;27;2005;4.248366356;0
263;27;2006;4.320987701;0
264;27;2007;5.23255825;0
265;27;2008;3.26409483;0
266;27;2009;5.813953876;0
267;28;1991;0;0
268;28;1992;0;0
269;28;1993;0;0
270;28;1994;15.3846159;0
271;28;1995;0;0
272;28;1996;0;0
273;28;1997;0;0
274;28;1998;5.55555582;0
275;28;1999;0;0
276;28;2000;0;0
277;28;2001;0;0
278;28;2002;24.13792992;0
279;28;2003;7.692307949;0
280;28;2004;0;0
281;28;2005;13.33333397;0
282;28;2006;0;0
283;28;2007;0;0
284;28;2008;2.127659559;0
285;28;2009;0;0
286;29;1991;2.040816307;0
287;29;1992;0;0
288;29;1993;0;0
289;29;1994;2.173913002;0
290;29;1995;2.040816307;0
291;29;1996;2.173913002;0
292;29;1997;0;0
293;29;1998;11.90476227;0
294;29;1999;0;0
295;29;2000;11.76470566;0
296;29;2001;2;0
297;29;2002;10.34482765;0
298;29;2003;7.57575798;0
299;29;2004;9.836065292;0
300;29;2005;0;0
301;29;2006;5;0
302;29;2007;5.55555582;0
303;29;2008;10.63829803;0
304;29;2009;10.63829803;1
305;31;1991;0;0
306;31;1992;0;0
307;31;1993;0;0
308;31;1994;0;0
309;31;1995;0;0
310;31;1996;0;0
311;31;1997;0;0
312;31;1998;6.818181992;0
313;31;1999;1.818181753;0
314;31;2000;14.03508759;0
315;31;2001;1.666666746;0
